data_richiesta;NUM
21/06/2020;664
22/06/2020;1862
23/06/2020;1759
24/06/2020;1344
25/06/2020;1323
26/06/2020;1150
27/06/2020;1025
28/06/2020;560
29/06/2020;1212
30/06/2020;1039
01/07/2020;1244
02/07/2020;977
03/07/2020;1168
04/07/2020;983
05/07/2020;276
06/07/2020;1186
07/07/2020;1007
08/07/2020;1205
09/07/2020;836
10/07/2020;924
11/07/2020;850
12/07/2020;256
13/07/2020;1381
14/07/2020;1324
15/07/2020;1362
16/07/2020;1065
17/07/2020;1324
18/07/2020;1058
19/07/2020;288
20/07/2020;1294
21/07/2020;1488
22/07/2020;1634
23/07/2020;1330
24/07/2020;1612
25/07/2020;1022
26/07/2020;349
27/07/2020;1582
28/07/2020;1477
29/07/2020;1511
30/07/2020;1290
31/07/2020;1657
01/08/2020;1222
02/08/2020;428
03/08/2020;1987
04/08/2020;1612
05/08/2020;2003
06/08/2020;1775
07/08/2020;2161
08/08/2020;868
09/08/2020;547
10/08/2020;1208
11/08/2020;1151
12/08/2020;1588
13/08/2020;1211
14/08/2020;1019
15/08/2020;492
16/08/2020;523
17/08/2020;1883
18/08/2020;1893
19/08/2020;1957
20/08/2020;1940
21/08/2020;1895
22/08/2020;1492
23/08/2020;1380
24/08/2020;3060
25/08/2020;2437
26/08/2020;2840
27/08/2020;2928
28/08/2020;2872
29/08/2020;1915
30/08/2020;1617
31/08/2020;3190
01/09/2020;3112
02/09/2020;2965
03/09/2020;2574
04/09/2020;2538
05/09/2020;1608
06/09/2020;1124
07/09/2020;3544
08/09/2020;2886
09/09/2020;2673
10/09/2020;2229
11/09/2020;2289
12/09/2020;1655
13/09/2020;891
14/09/2020;2404
15/09/2020;2340
16/09/2020;2172
17/09/2020;2078
18/09/2020;2003
19/09/2020;2546
20/09/2020;1684
21/09/2020;2438
22/09/2020;2408
23/09/2020;2344
24/09/2020;2202
25/09/2020;2520
26/09/2020;1493
27/09/2020;765
28/09/2020;2834
29/09/2020;2784
30/09/2020;2762
01/10/2020;2553
02/10/2020;2529
03/10/2020;1836
04/10/2020;815
05/10/2020;3245
06/10/2020;3116
07/10/2020;2900
08/10/2020;2994
09/10/2020;3082
10/10/2020;2266
11/10/2020;1183
12/10/2020;3374
13/10/2020;3245
14/10/2020;3148
15/10/2020;2912
16/10/2020;3311
17/10/2020;2892
18/10/2020;1014
19/10/2020;4402
20/10/2020;3844
21/10/2020;4023
22/10/2020;3748
23/10/2020;3958
24/10/2020;2716
25/10/2020;1734
26/10/2020;4943
27/10/2020;4847
28/10/2020;4755
29/10/2020;4632
30/10/2020;4864
31/10/2020;3599
01/11/2020;1530
02/11/2020;5337
03/11/2020;5017
04/11/2020;4860
05/11/2020;4655
06/11/2020;4979
07/11/2020;3786
08/11/2020;1379
09/11/2020;5776
10/11/2020;5335
11/11/2020;4906
12/11/2020;5274
13/11/2020;4917
14/11/2020;3812
15/11/2020;1296
16/11/2020;5468
17/11/2020;5461
18/11/2020;4526
19/11/2020;4299
20/11/2020;4782
21/11/2020;3536
22/11/2020;1507
23/11/2020;4930
24/11/2020;4025
25/11/2020;4343
26/11/2020;4459
27/11/2020;4517
28/11/2020;3387
29/11/2020;1590
30/11/2020;4782
01/12/2020;4063
02/12/2020;3784
03/12/2020;3943
04/12/2020;4307
05/12/2020;2884
06/12/2020;1130
07/12/2020;4375
08/12/2020;1550
09/12/2020;3990
10/12/2020;4412
11/12/2020;3916
12/12/2020;2745
13/12/2020;1371
14/12/2020;4732
15/12/2020;3620
16/12/2020;3782
17/12/2020;3631
18/12/2020;4168
19/12/2020;3121
20/12/2020;1222
21/12/2020;4665
22/12/2020;4127
23/12/2020;3952
24/12/2020;2783
25/12/2020;437
26/12/2020;960
27/12/2020;1593
28/12/2020;4783
29/12/2020;4256
30/12/2020;3792
31/12/2020;3056
01/01/2021;435
02/01/2021;2821
03/01/2021;1394
04/01/2021;4303
05/01/2021;4167
06/01/2021;2247
07/01/2021;3637
08/01/2021;3671
09/01/2021;2385
10/01/2021;1316
11/01/2021;3678
12/01/2021;3440
13/01/2021;3177
14/01/2021;3244
15/01/2021;3506
16/01/2021;2528
17/01/2021;1163
18/01/2021;3749
19/01/2021;3396
20/01/2021;3317
21/01/2021;3184
22/01/2021;3046
23/01/2021;2240
24/01/2021;889
25/01/2021;3374
26/01/2021;2742
27/01/2021;3213
28/01/2021;2903
29/01/2021;2865
30/01/2021;2500
31/01/2021;918
01/02/2021;3110
02/02/2021;3120
03/02/2021;2944
04/02/2021;3204
05/02/2021;3373
06/02/2021;2326
07/02/2021;908
08/02/2021;3930
09/02/2021;3921
10/02/2021;3841
11/02/2021;3517
12/02/2021;3884
13/02/2021;2507
14/02/2021;1196
15/02/2021;4579
16/02/2021;4635
17/02/2021;4180
18/02/2021;4222
19/02/2021;4445
20/02/2021;2776
21/02/2021;1258
22/02/2021;4979
23/02/2021;5135
24/02/2021;5570
25/02/2021;6035
26/02/2021;4889
27/02/2021;3739
28/02/2021;1837
01/03/2021;5674
02/03/2021;5927
03/03/2021;6152
04/03/2021;6257
05/03/2021;5907
06/03/2021;4035
07/03/2021;2695
08/03/2021;6377
09/03/2021;7095
10/03/2021;6825
11/03/2021;6655
12/03/2021;6634
13/03/2021;3558
14/03/2021;2294
15/03/2021;6172
16/03/2021;6475
17/03/2021;6183
18/03/2021;6414
19/03/2021;6176
20/03/2021;3800
21/03/2021;1453
22/03/2021;5764
23/03/2021;6111
24/03/2021;5695
25/03/2021;5635
26/03/2021;5363
27/03/2021;3620
28/03/2021;2003
29/03/2021;5139
30/03/2021;5165
31/03/2021;4296
01/04/2021;4344
02/04/2021;4171
03/04/2021;2942
04/04/2021;614
05/04/2021;1720
06/04/2021;5086
07/04/2021;4163
08/04/2021;4341
09/04/2021;3975
10/04/2021;2542
11/04/2021;1488
12/04/2021;3680
13/04/2021;3835
14/04/2021;3601
15/04/2021;3645
16/04/2021;3720
17/04/2021;2146
18/04/2021;1491
19/04/2021;3718
20/04/2021;4207
21/04/2021;3601
22/04/2021;3458
23/04/2021;3610
24/04/2021;2281
25/04/2021;1567
26/04/2021;4756
27/04/2021;4353
28/04/2021;4240
29/04/2021;3878
30/04/2021;4128
01/05/2021;1324
02/05/2021;1696
03/05/2021;4650
04/05/2021;4927
05/05/2021;4424
06/05/2021;4032
07/05/2021;4560
08/05/2021;2435
09/05/2021;1883
10/05/2021;3677
11/05/2021;3971
12/05/2021;3889
13/05/2021;3896
14/05/2021;3714
15/05/2021;2138
16/05/2021;1641
17/05/2021;3859
18/05/2021;3153
19/05/2021;3028
20/05/2021;3136
21/05/2021;3184
22/05/2021;2033
23/05/2021;1411
24/05/2021;3249
25/05/2021;2850
26/05/2021;3132
27/05/2021;2618
28/05/2021;2990
29/05/2021;1654
30/05/2021;1106
31/05/2021;2859
01/06/2021;2665
02/06/2021;1071
03/06/2021;2825
04/06/2021;2570
05/06/2021;1541
06/06/2021;1140
07/06/2021;3041
08/06/2021;2649
09/06/2021;2675
10/06/2021;2297
11/06/2021;2264
12/06/2021;1501
13/06/2021;1034
14/06/2021;2833
15/06/2021;2906
16/06/2021;2556
17/06/2021;2389
18/06/2021;2374
19/06/2021;1411
20/06/2021;940
21/06/2021;2580
22/06/2021;2602
23/06/2021;2164
24/06/2021;2099
25/06/2021;2015
26/06/2021;1284
27/06/2021;1103
28/06/2021;2403
29/06/2021;2305
30/06/2021;2057
01/07/2021;2065
02/07/2021;2186
03/07/2021;1317
04/07/2021;760
05/07/2021;2587
06/07/2021;2153
07/07/2021;2054
08/07/2021;2138
09/07/2021;1943
10/07/2021;1404
11/07/2021;941
12/07/2021;2066
13/07/2021;2556
14/07/2021;2180
15/07/2021;2175
16/07/2021;2334
17/07/2021;1434
18/07/2021;893
19/07/2021;2683
20/07/2021;2857
21/07/2021;2638
22/07/2021;2666
23/07/2021;2418
24/07/2021;1757
25/07/2021;994
26/07/2021;2766
